,Title,Author,Format-Year
84,Learn Spanish For Beginners,Language Library,eBook - 2021
85,Learn Spanish For Beginners In Your Car,Language Library,eBook - 2021
86,Learn Intermediate Spanish In 30 Days,Language Library,eBook - 2021
87,Traveling in Spanish,"Gardner, James M.",eAudiobook - 2020
88,"Learn Latin American Spanish for Beginners, Volume 1","Academy, Language",eAudiobook - 2020
89,Learn Spanish,"Alfaro, Adrian",eBook - 2020
90,Diversión en serio: Cómo el juego guiado amplía el aprendizaje de los niños,"Masterson, Marie L.",eBook - 2019
91,Learning Agility,"Hallenbeck, George",eBook - 2018
92,Real Spanish 101,"Frobose, Mark",eAudiobook - 2015
93,Spanish Basics Intermediate Level,"Frobose, Mark",eAudiobook - 2015
94,Real Spanish 102,"Frobose, Mark",eAudiobook - 2015
95,Spanish Basics for Beginners,"Frobose, Mark",eAudiobook - 2015
96,Cuando tu hijo tiene dificultades de aprendizaje,"Fisher, Gary L.",Book - 2004
97,Muse of Fire,No Author,Streaming Video - 2015
98,Kids Learn Spanish Songs,Nashville Kids Sound (Musical group),Streaming Music - 2006
99,Spanish,Nashville Kids Sound (Musical group),Streaming Music - 1994
100,Learning to Drive,No Author,DVD - 2016
101,Higher Learning,No Author,DVD - 2001
102,Aprendiendo a quererte (Learning to Love You),"Westwood, Jana",eAudiobook - 2024
103,Aprender a ser padres (Learning to Become Parents),María Del Carmen Míguez,eAudiobook - 2022
104,Educación a distancia (Distance Learning),"Murray, Julie",eBook - 2020
105,Introducción al Machine Learning con MATLAB,Erik Cuevas Jiménez,eBook - 2021
106,Libro blanco del e-learning,Various Authors,eBook - 2020
107,Aprende sobre los tiburones (Learning about Sharks),"Otterman, Joseph",eBook - 2020
108,Python Deep Learning,"Torres, Jordi",eBook - 2020
109,Aprendamos sobre la expanción hacia el oeste con artes y manualidades (Learning About the Westwar...,"Collison, Campbell",eBook - 2020
110,E-learning en la formación profesional para el empleo,Isabel María Márquez Pérez,eBook - 2019
111,"Intelligence, Play & Learning (Dr. Brain)",No Author,Streaming Video - 2019
112,¡Compartir es genial! (Learning to Share),"Rusu, Meredith",eBook - 2018
113,El Amor caminó entre nosotros,"Miller, Paul E.",eBook - 2015
114,Easy Learning Verbos ingleses,Collins,eBook - 2013
115,Easy Learning Vocabulario de inglés,Various Authors,eBook - 2013
116,Developmental Assignments,"McCauley, Cynthia D.",eBook - 2008
117,Cuentos para aprender a aprend (Stories to Learn about Learning),Jose Maria Doria,eAudiobook - 2006
118,Borat,No Author,DVD - 2007
119,52 Weeks of Family Spanish,"McAree, Eileen",Book - 2012
120,Puerto Rico,"Meléndez Badillo, Jorell A.",Book - 2024
121,Super dinosaurios,"Barker, Chris",Book - 2021
122,Complete Spanish Grammar Review,"Harvey, William C",Book - 2016
123,The Everything Essential Spanish Book,"Gutin, Julie",Book - 2013
124,Easy Spanish Step-by-step,"Bregstein, Barbara",Book - 2006
125,52 maneras de cultivar las habilidades naturales de su hijo,"Luck, Kenneth L.",Book - 2011
126,Tu lugar en el universo,"Chin, Jason",Book - 2022
127,Inglés práctico,No Author,Book - 2017
128,Embattled,No Author,DVD - 2020
129,"Spanish Voices, Spanish and English in the Southeastern United States",No Author,Streaming Video - 2011
130,Being... Spanish,No Author,Streaming Video - 2011
131,Bebe feliz,"Knecht-Boyer, Anne",Book - 2004
132,I'm Too Big,"Morton, Lone",Picture Book - 1994
133,Conoce a Rubén Darío,"Ramírez, Sergio",Book - 2024
134,English for everyone,"Harding, Rachel",Book - 2016
135,Cómo estimular día a día la inteligencia de tu hijo,"Laniado, Nessia",Book - 2007
136,"North Carolina's Mountains, Piedmont, & Coastal Plain in Spanish & English",No Author,Book - 2005
137,Adiós a la inflamación,"Moñino, Sandra",Book - 2025
138,100 Facts About the Function of the Human Body,Science-Based Language Learning Lab,eBook - 2025
139,100 Facts About Logical Reasoning,Science-Based Language Learning Lab,eBook - 2024
140,A Hundred Reasons Why People Believe in Conspiracy Theories,Science-Based Language Learning Lab,eBook - 2024
141,100 Facts About Basic First Aid,Science-Based Language Learning Lab,eBook - 2024
142,100 Facts About Fitness,Science-Based Language Learning Lab,eBook - 2024
143,100 Facts About Mental Health,Science-Based Language Learning Lab,eBook - 2024
144,100 Facts About Nutrition,Science-Based Language Learning Lab,eBook - 2024
145,100 Facts About Burning Fat While You Sleep,Science-Based Language Learning Lab,eBook - 2024
146,Learn Spanish: Can Do Spanish,SpanishPod101.com; Innovative Language Learning,eAudiobook - 2024
147,100 Reasons Why Bicycles Make Life Better,Science-Based Language Learning Lab,eBook - 2024
148,100 Facts About Longevity,Science-Based Language Learning Lab,eBook - 2024
149,100 Facts About Artificial Intelligence,Science-Based Language Learning Lab,eBook - 2024
150,100 Facts About Cognitive Biases,Science-Based Language Learning Lab,eBook - 2024
151,100 Facts About Anti Inflammatory Diet,Science-Based Language Learning Lab,eBook - 2024
152,100 Facts About Real Estate Investment,Science-Based Language Learning Lab,eBook - 2024
153,100 Facts About Book Marketing,Science-Based Language Learning Lab,eBook - 2024
154,100 Facts About Famous Literary Hoaxes and Forgeries,Science-Based Language Learning Lab,eBook - 2024
155,1000 Common Adjectives,Science-Based Language Learning Lab,eBook - 2024
156,100 Facts About Socratic Questioning,Science-Based Language Learning Lab,eBook - 2024
157,100 Facts About the Life and Works of Nikola Tesla,Science-Based Language Learning Lab,eBook - 2024
158,100 Facts About Critical Thinking,Science-Based Language Learning Lab,eBook - 2024
159,100 Facts About Most Important Life Skills,Science-Based Language Learning Lab,eBook - 2024
160,100 Facts About Being an Informed Voter,Science-Based Language Learning Lab,eBook - 2024
161,100 Facts About the Science and Applications of Nanotechnology,Science-Based Language Learning Lab,eBook - 2024
162,A Hundred Reasons Why AI Can Make You Money,Science-Based Language Learning Lab,eBook - 2024
163,A Hundred Reasons Why Evolution Is True,Science-Based Language Learning Lab,eBook - 2024
164,100 Facts About Eating for Longevity,Science-Based Language Learning Lab,eBook - 2024
165,100 Facts About Marketing,Science-Based Language Learning Lab,eBook - 2024
166,100 Facts About Rucking,Science-Based Language Learning Lab,eBook - 2024
167,100 Facts About Website Promotion,Science-Based Language Learning Lab,eBook - 2024
168,100 Facts About the History and Evolution of Telecommunication Systems,Science-Based Language Learning Lab,eBook - 2024
169,100 Facts About General Relativity and Its Applications,Science-Based Language Learning Lab,eBook - 2024
170,100 Facts About Croatia,Science-Based Language Learning Lab,eBook - 2024
171,Learn Spanish Bundle - Spanish for Beginners (Level 2),"Innovative Language Learning, LLC; SpanishPod101.com",eAudiobook - 2024
172,1000 Common Conjugations,Science-Based Language Learning Lab,eBook - 2024
173,1000 Motivational Statements,Language Learning Lab,eBook - 2024
174,1000 Common Past Tense Verbs,Science-Based Language Learning Lab,eBook - 2024
175,1000 Common Verbs,Science-Based Language Learning Lab,eBook - 2024
176,1000 Common Words,Science-Based Language Learning Lab,eBook - 2024
177,1000 Common Nouns,Science-Based Language Learning Lab,eBook - 2024
178,1000 Common Future Tense Verbs,Science-Based Language Learning Lab,eBook - 2024
179,1000 Common Phrases,Science-Based Language Learning Lab,eBook - 2024
180,100 Facts About Having Great Sex,Science-Based Language Learning Lab,eBook - 2024
181,A Hundred Reasons Why Traveling Increases Cultural Awareness,Science-Based Language Learning Lab,eBook - 2024
182,100 Facts About Positive Psychology,Science-Based Language Learning Lab,eBook - 2024
183,Learn Spanish in Your Car or While You Sleep: Master Most Common Spanish Phrases,Language Learning Masters,eAudiobook - 2023
184,Fun Spanish Short Stories: 5 Interesting Beginner Tales to Jumpstart Your Spanish & Improve Your Voc,Touri Language Learning,eBook - 2023
185,Conversational Phrases Spanish Audiobook,Innovative Language Learning; SpanishPod101.com,eAudiobook - 2023
186,100 Days of Real World Spanish: Vocabulary Words & Phrases for All Levels to Help You Become Flue,Touri Language Learning,eBook - 2022
187,Learn Spanish With Music,"Innovative Language Learning, LLC",eAudiobook - 2022
188,Learn Spanish: Discover Peruvian Culture & Traditions,"Innovative Language Learning, LLC",eAudiobook - 2022
189,El código del cancer,"Fung, Jason",Book - 2021
190,Learn Spanish While Sleeping,"Innovative Language Learning, LLC",eAudiobook - 2021
191,La vida secreta de los océanos,"French, Jess",Book - 2021
192,"Learn Spanish: Mexican Spanish Survival Phrases, Volume 2","Innovative Language Learning, LLC",eAudiobook - 2020
193,Learn Spanish for Beginners,Pro Language Learning,eAudiobook - 2020
194,"Learn Spanish: Spanish Survival Phrases, Volume 2","Innovative Language Learning, LLC",eAudiobook - 2020
195,"Learn Spanish: Level 3: Lower Beginner Spanish, Volume 2","Innovative Language Learning, LLC",eAudiobook - 2020
196,"Learn Spanish - Level 2: Absolute Beginner Spanish, Volume 2","Innovative Language Learning, LLC",eAudiobook - 2020
197,"Learn Spanish - Level 2: Absolute Beginner Spanish, Volume 1","Innovative Language Learning, LLC",eAudiobook - 2020
198,Learn Spanish: Survival Phrases,"Innovative Language Learning, LLC",eAudiobook - 2020
199,"Learn Spanish - Level 7: Intermediate Spanish, Volume 1","Innovative Language Learning, LLC",eAudiobook - 2020
200,"Learn Spanish - Level 2: Absolute Beginner Spanish, Volume 3","Innovative Language Learning, LLC",eAudiobook - 2020
201,"Learn Spanish: Level 3: Lower Beginner Spanish, Volume 1","Innovative Language Learning, LLC",eAudiobook - 2020
202,"Learn Spanish - Level 6: Lower Intermediate Spanish, Volume 2","Innovative Language Learning, LLC",eAudiobook - 2020
203,"Learn Spanish - Level 4: Beginner Spanish, Volume 1","Innovative Language Learning, LLC",eAudiobook - 2020
204,"Learn Spanish - Level 6: Lower Intermediate Spanish, Volume 1","Innovative Language Learning, LLC",eAudiobook - 2020
205,"Learn Spanish - Level 9: Advanced Spanish, Volume 2","Innovative Language Learning, LLC",eAudiobook - 2020
206,"Learn Spanish - Level 8: Upper Intermediate Spanish, Volume 1","Innovative Language Learning, LLC",eAudiobook - 2020
207,Learn Spanish in Your Car,Pro Language Learning,eAudiobook - 2020
208,"Learn Spanish - Level 5: Upper Beginner Spanish, Volume 2","Innovative Language Learning, LLC",eAudiobook - 2020
209,"Learn Spanish - Level 5: Upper Beginner Spanish, Volume 1","Innovative Language Learning, LLC",eAudiobook - 2020
210,"Learn Spanish: Spanish Survival Phrases, Volume 1","Innovative Language Learning, LLC",eAudiobook - 2020
211,"Learn Spanish: Mexican Spanish Survival Phrases, Volume 1","Innovative Language Learning, LLC",eAudiobook - 2020
212,Learn Spanish for Kids,Pro Language Learning,eAudiobook - 2020
213,Intermediate Spanish Short Stories,Touri Language Learning,eBook - 2019
214,Conversational Spanish Dialogues,Touri Language Learning,eBook - 2019
215,Spanish Short Stories for Beginners:10 Exciting Short Stories to Easily Learn Spanish & Improve Your,Touri Language Learning,eBook - 2019
216,Learn Spanish Grammar: 25 Sentence Patterns for Beginners,"Innovative Language Learning, LLC",eAudiobook - 2019
217,Learn Spanish - Level 1: Introduction to Spanish,"Innovative Language Learning, LLC",eAudiobook - 2019
218,Spanish Language Lessons: Your Beginner's Guide to Learn Spanish Language While in Your Car or Wo,Language Learning Mastery,eBook - 2019
219,Learn Medical Spanish in 100 Days,Touri Language Learning,eBook - 2019
220,Everyday Spanish for Beginners - 400 Actions & Activities,"Innovative Language Learning, LLC",eAudiobook - 2018
221,Learn Spanish: Must-Know Spanish Slang Words & Phrases,"Innovative Language Learning, LLC",eAudiobook - 2018
222,Learn Spanish: The Ultimate Guide to Talking Online in Mexican Spanish,"Innovative Language Learning, LLC",eAudiobook - 2018
223,Learn Spanish: Must-Know Mexican Spanish Slang Words & Phrases,"Innovative Language Learning, LLC",eAudiobook - 2018
224,Top 25 Spanish Questions You Need to Know,"Innovative Language Learning, LLC",eAudiobook - 2017
225,Learn Spanish: Ultimate Getting Started With Spanish,"Innovative Language Learning, LLC",eAudiobook - 2017
226,3-Minute Mexican Spanish,"Innovative Language Learning, LLC",eAudiobook - 2017
227,"How to Play Guitar, Acoustic and Electric--learn to Play Like A Rock Hero",No Author,Book - 2017
228,La guía visual,"Goodman, Pam",Book - 2015
229,¿Qué tal tu inglés?,No Author,Book - 2015
230,Destrezas para el éxito escolar,"Greve, Meg",Book - 2015
231,Libera al Einstein que llevas dentro,"Gibson, Ken",Book - 2015
232,Los problemas con la tarea,"Goodman, Pam",Book - 2014
233,Libere et potencial de su hijo,"Goodman, Pam",Book - 2014
234,Cómo ser el mejor estudiante que puedas ser!,"Goodman, Pam",Book - 2014
235,"Rapid Spanish, Volume 1","Learning, Earworms",eAudiobook - 2014
236,"Rapid Spanish, Vol. 3","Learning, Earworms",eAudiobook - 2014
237,"Rapid Spanish, Volume 2","Learning, Earworms",eAudiobook - 2014
238,Ideas para divertir a los niños,"Bishop, Laura",Book - 2010
239,Cómo estudiar con éxito,"Olcese Salvatecci, Alfieri",Book - 2002
240,"Libro De Matemáticas De Preparación Para Exámenes Para Estudiantes Adultos, Libro 2",Coaching for Better Learning,eBook - 2025
241,"Libro De Matemáticas De Preparación Para Exámenes Para Estudiantes Adultos, Libro 1",Coaching for Better Learning,eBook - 2025
242,"Libro De Matemáticas De Preparación Para Exámenes Para Estudiantes Adultos, Libro 4",Coaching for Better Learning,eBook - 2025
243,"Libro De Matemáticas De Preparación Para Exámenes Para Estudiantes Adultos, Libro 3",Coaching for Better Learning,eBook - 2025
244,Ged Guía De Estudios De Matematicas,Coaching for Better Learning,eBook - 2024
245,Aprende Ingles Para Niños,Pro Language Learning,eAudiobook - 2020
246,Aprende Inglés Para Principiantes,Pro Language Learning,eAudiobook - 2020
247,Aprende Inglés en tu Coche,Pro Language Learning,eAudiobook - 2020
248,La señorita Lulú no sabe ni la u!,"Gutman, Dan",Book - 2018
249,Ayobami y el nombre de los animales,"López Ávila, Pilar",Picture Book - 2017
250,Project Nim,No Author,DVD - 2012
251,Ethnic Eating,No Author,Streaming Video - 2010
252,Adrian de Santiago de Compostela,No Author,Streaming Video - 2007
253,Mireia de Barcelona,No Author,Streaming Video - 2007
254,Anabel de Forcall,No Author,Streaming Video - 2007
255,Estrella de Sevilla,No Author,Streaming Video - 2007
256,David de Valls,No Author,Streaming Video - 2007
257,Alejandro de Madrid,No Author,Streaming Video - 2007
258,Test-taking Strategies for Students,No Author,DVD - 2005
259,Taking Reading Comprehension Tests,No Author,DVD - 2005
260,95 libras de esperanza,"Gavalda, Anna",Book - 2004
261,The Address,No Author,DVD - 2014
262,"¿Qué veo en el mar? (What Do You See, in the Sea?)","Mitten, Luana K",eBook - 2013
263,The Cat in the Hat Knows A Lot About That,No Author,DVD - 2013
264,America Becomes A World Power,No Author,Streaming Video - 2006
